window_start,window_end,num_embeddings,transitions,active_speakers,pca_explained_var,mean_velocity,fragmentation_score
0.0,5.0,9,0,['speaker_0'],0.517390251159668,0.6746455430984497,0.0
2.5,7.5,7,2,"['speaker_0', 'speaker_1']",0.5447847843170166,0.7959310412406921,0.2857142857142857
5.0,10.0,6,2,"['speaker_0', 'speaker_1']",0.578461766242981,0.8761321902275085,0.3333333333333333
7.5,12.5,4,0,['speaker_0'],0.9062864780426025,0.8388941884040833,0.0
10.0,15.0,5,0,['speaker_0'],0.7623687982559204,0.6604136824607849,0.0
12.5,17.5,8,0,['speaker_0'],0.5765528678894043,0.7120470404624939,0.0
15.0,20.0,8,0,['speaker_0'],0.5522592067718506,0.7559484839439392,0.0
17.5,22.5,8,2,"['speaker_0', 'speaker_1']",0.5302066206932068,0.8259974122047424,0.25
20.0,25.0,8,2,"['speaker_0', 'speaker_1']",0.4863297939300537,0.7788881659507751,0.25
22.5,27.5,8,0,['speaker_0'],0.5214952230453491,0.6632545590400696,0.0
25.0,30.0,8,0,['speaker_0'],0.4995186924934387,0.6445026993751526,0.0
27.5,32.5,8,1,"['speaker_0', 'speaker_1']",0.5640312433242798,0.6665641665458679,0.125
30.0,35.0,8,1,"['speaker_0', 'speaker_1']",0.6267096996307373,0.6898478865623474,0.125
32.5,37.5,7,2,"['speaker_0', 'speaker_1']",0.6225607395172119,0.7516303062438965,0.2857142857142857
35.0,40.0,6,2,"['speaker_5', 'speaker_0', 'speaker_1']",0.7169591188430786,0.7519083619117737,0.3333333333333333
37.5,42.5,7,3,"['speaker_0', 'speaker_5', 'speaker_1']",0.6136143803596497,0.6977812647819519,0.42857142857142855
40.0,45.0,8,4,"['speaker_1', 'speaker_0']",0.6349742412567139,0.7050389647483826,0.5
42.5,47.5,8,4,"['speaker_0', 'speaker_1']",0.5941070318222046,0.7214424014091492,0.5
45.0,50.0,7,4,"['speaker_0', 'speaker_1']",0.6213645935058594,0.7841441035270691,0.5714285714285714
47.5,52.5,5,3,"['speaker_0', 'speaker_1']",0.6825239062309265,0.9571672677993774,0.6
50.0,55.0,5,2,"['speaker_0', 'speaker_1']",0.7996221780776978,0.9540332555770874,0.4
52.5,57.5,8,2,"['speaker_0', 'speaker_1']",0.6309152841567993,0.7517732381820679,0.25
55.0,60.0,9,4,"['speaker_0', 'speaker_1']",0.6052364110946655,0.7485456466674805,0.4444444444444444
57.5,62.5,6,4,"['speaker_1', 'speaker_0']",0.804234504699707,0.7344952821731567,0.6666666666666666
60.0,65.0,6,3,"['speaker_1', 'speaker_0']",0.6976729035377502,0.8026759028434753,0.5
62.5,67.5,8,3,"['speaker_0', 'speaker_1']",0.562209963798523,0.7443574070930481,0.375
65.0,70.0,8,4,"['speaker_0', 'speaker_1']",0.5867105722427368,0.7367001175880432,0.5
67.5,72.5,5,2,"['speaker_0', 'speaker_1']",0.8393082618713379,0.7716205716133118,0.4
75.0,80.0,5,2,"['speaker_0', 'speaker_1']",0.7571142315864563,0.8384408354759216,0.4
77.5,82.5,8,4,"['speaker_0', 'speaker_1']",0.540181040763855,0.8589106798171997,0.5
80.0,85.0,9,2,"['speaker_0', 'speaker_1']",0.49542996287345886,0.7551648616790771,0.2222222222222222
82.5,87.5,8,1,"['speaker_0', 'speaker_1']",0.48786062002182007,0.7243841886520386,0.125
85.0,90.0,7,2,"['speaker_0', 'speaker_1']",0.5730206370353699,0.7798726558685303,0.2857142857142857
87.5,92.5,7,1,"['speaker_0', 'speaker_1']",0.5858962535858154,0.656597912311554,0.14285714285714285
90.0,95.0,7,2,"['speaker_0', 'speaker_1']",0.7126173973083496,0.7406238913536072,0.2857142857142857
92.5,97.5,8,1,"['speaker_0', 'speaker_1']",0.6783176064491272,0.6726285219192505,0.125
95.0,100.0,8,0,['speaker_0'],0.5584890246391296,0.6062360405921936,0.0
97.5,102.5,9,0,['speaker_0'],0.49872148036956787,0.5700675249099731,0.0
100.0,105.0,9,0,['speaker_0'],0.4539158344268799,0.5671281814575195,0.0
102.5,107.5,7,1,"['speaker_0', 'speaker_1']",0.5981857180595398,0.7308819890022278,0.14285714285714285
105.0,110.0,7,2,"['speaker_0', 'speaker_1']",0.6583684682846069,0.8667692542076111,0.2857142857142857
107.5,112.5,8,1,"['speaker_0', 'speaker_1']",0.6283259391784668,0.7324772477149963,0.125
110.0,115.0,9,0,['speaker_0'],0.533898115158081,0.5912016034126282,0.0
112.5,117.5,7,0,['speaker_0'],0.6152549982070923,0.5928457379341125,0.0
115.0,120.0,5,2,"['speaker_5', 'speaker_0', 'speaker_1']",0.8298426866531372,0.9143925905227661,0.4
117.5,122.5,8,1,"['speaker_5', 'speaker_1']",0.5481681823730469,0.8260858654975891,0.125
120.0,125.0,9,0,['speaker_1'],0.47703295946121216,0.7074908018112183,0.0
122.5,127.5,8,0,['speaker_1'],0.568144679069519,0.6490560173988342,0.0
125.0,130.0,8,2,"['speaker_0', 'speaker_1']",0.5928404927253723,0.6511824727058411,0.25
127.5,132.5,8,2,"['speaker_0', 'speaker_1']",0.567084014415741,0.6857275366783142,0.25
130.0,135.0,8,1,"['speaker_5', 'speaker_0']",0.6066217422485352,0.668266773223877,0.125
132.5,137.5,9,1,"['speaker_5', 'speaker_0']",0.5404835939407349,0.6965144872665405,0.1111111111111111
135.0,140.0,9,1,"['speaker_5', 'speaker_1']",0.4834856390953064,0.7617688775062561,0.1111111111111111
137.5,142.5,8,2,"['speaker_5', 'speaker_1']",0.5020674467086792,0.8186127543449402,0.25
140.0,145.0,8,3,"['speaker_5', 'speaker_1']",0.5619886517524719,0.7022550702095032,0.375
142.5,147.5,8,4,"['speaker_5', 'speaker_0', 'speaker_1']",0.5659056901931763,0.6527742147445679,0.5
145.0,150.0,8,3,"['speaker_0', 'speaker_1']",0.5483044385910034,0.645910918712616,0.375
147.5,152.5,9,0,['speaker_1'],0.482877254486084,0.5943849086761475,0.0
150.0,155.0,9,0,['speaker_1'],0.48173320293426514,0.6240299940109253,0.0
152.5,157.5,8,2,"['speaker_0', 'speaker_1']",0.5776316523551941,0.6975831985473633,0.25
155.0,160.0,8,2,"['speaker_5', 'speaker_0']",0.6061858534812927,0.6342606544494629,0.25
157.5,162.5,8,2,"['speaker_5', 'speaker_1']",0.6119323968887329,0.6319592595100403,0.25
160.0,165.0,8,3,"['speaker_5', 'speaker_1']",0.5635973215103149,0.7607231140136719,0.375
162.5,167.5,8,1,"['speaker_5', 'speaker_1']",0.5188642144203186,0.8031006455421448,0.125
165.0,170.0,7,2,"['speaker_5', 'speaker_0', 'speaker_1']",0.6257383823394775,0.7942776083946228,0.2857142857142857
167.5,172.5,4,0,['speaker_0'],0.858278751373291,0.7242307066917419,0.0
170.0,175.0,4,0,['speaker_0'],0.893346905708313,0.6875827312469482,0.0
172.5,177.5,3,0,['speaker_0'],1.0,0.595759391784668,0.0
177.5,182.5,4,2,"['speaker_0', 'speaker_2']",0.9200078845024109,0.8453090190887451,0.5
180.0,185.0,4,1,"['speaker_0', 'speaker_2']",0.8897683024406433,0.8352864384651184,0.25
182.5,187.5,5,1,"['speaker_0', 'speaker_2']",0.740789532661438,1.0792336463928223,0.2
185.0,190.0,5,2,"['speaker_0', 'speaker_2']",0.7504467964172363,0.9776178598403931,0.4
187.5,192.5,6,1,['speaker_0'],0.671630859375,0.7305861711502075,0.16666666666666666
190.0,195.0,4,0,['speaker_0'],0.925661027431488,0.5992663502693176,0.0
192.5,197.5,4,3,"['speaker_1', 'speaker_0']",0.8177419304847717,0.9376352429389954,0.75
195.0,200.0,8,4,"['speaker_1', 'speaker_0']",0.48273754119873047,0.8499835133552551,0.5
197.5,202.5,6,0,['speaker_0'],0.7061325311660767,0.763144314289093,0.0
200.0,205.0,3,0,['speaker_0'],1.0,0.7131102085113525,0.0
202.5,207.5,6,3,"['speaker_0', 'speaker_1']",0.5712290406227112,0.8593438863754272,0.5
205.0,210.0,9,3,"['speaker_0', 'speaker_1']",0.4622804522514343,0.7641618251800537,0.3333333333333333
207.5,212.5,8,1,"['speaker_0', 'speaker_1']",0.6063731908798218,0.6749523282051086,0.125
210.0,215.0,8,1,"['speaker_4', 'speaker_1']",0.7275898456573486,0.6272778511047363,0.125
212.5,217.5,8,2,"['speaker_4', 'speaker_1']",0.6590693593025208,0.5676614046096802,0.25
215.0,220.0,8,5,"['speaker_4', 'speaker_0', 'speaker_1']",0.6570664644241333,0.773742139339447,0.625
217.5,222.5,9,4,"['speaker_1', 'speaker_0']",0.5586045980453491,0.7685662508010864,0.4444444444444444
220.0,225.0,9,3,"['speaker_0', 'speaker_1']",0.555040717124939,0.7381744980812073,0.3333333333333333
222.5,227.5,8,2,"['speaker_0', 'speaker_1']",0.5829808115959167,0.678780198097229,0.25
225.0,230.0,8,3,"['speaker_0', 'speaker_1']",0.5639395713806152,0.7269977927207947,0.375
227.5,232.5,8,1,"['speaker_0', 'speaker_1']",0.6054331064224243,0.664758026599884,0.125
230.0,235.0,8,2,"['speaker_0', 'speaker_1']",0.5634509325027466,0.6681202054023743,0.25
232.5,237.5,9,3,"['speaker_1', 'speaker_0']",0.4439832270145416,0.6922309398651123,0.3333333333333333
235.0,240.0,9,3,"['speaker_0', 'speaker_1']",0.5001415014266968,0.6589565277099609,0.3333333333333333
237.5,242.5,8,1,"['speaker_0', 'speaker_1']",0.604391872882843,0.660253643989563,0.125
240.0,245.0,8,1,"['speaker_0', 'speaker_1']",0.6146702766418457,0.6889393925666809,0.125
242.5,247.5,8,3,"['speaker_0', 'speaker_1']",0.557381808757782,0.7012849450111389,0.375
245.0,250.0,8,3,"['speaker_0', 'speaker_1']",0.5053041577339172,0.6579236388206482,0.375
247.5,252.5,7,0,['speaker_0'],0.5315841436386108,0.65084308385849,0.0
250.0,255.0,5,0,['speaker_0'],0.7131876945495605,0.673906147480011,0.0
252.5,257.5,4,0,['speaker_0'],0.8528922200202942,0.632965624332428,0.0
255.0,260.0,6,0,['speaker_0'],0.6549177169799805,0.5758737921714783,0.0
257.5,262.5,8,0,['speaker_0'],0.4992576539516449,0.6786602735519409,0.0
260.0,265.0,9,2,"['speaker_0', 'speaker_1']",0.4666922688484192,0.7114874720573425,0.2222222222222222
262.5,267.5,8,2,"['speaker_0', 'speaker_1']",0.5089823007583618,0.6749202609062195,0.25
265.0,270.0,6,2,"['speaker_0', 'speaker_1']",0.6236145496368408,0.7464349269866943,0.3333333333333333
267.5,272.5,7,3,"['speaker_0', 'speaker_1']",0.5369992256164551,0.757111132144928,0.42857142857142855
270.0,275.0,8,0,['speaker_0'],0.48995473980903625,0.6521903276443481,0.0
272.5,277.5,9,1,"['speaker_0', 'speaker_1']",0.5234264135360718,0.6540675163269043,0.1111111111111111
275.0,280.0,9,3,"['speaker_2', 'speaker_0', 'speaker_1']",0.45782148838043213,0.6879012584686279,0.3333333333333333
277.5,282.5,8,3,"['speaker_1', 'speaker_0', 'speaker_2']",0.5336126089096069,0.7385944128036499,0.375
280.0,285.0,8,5,"['speaker_2', 'speaker_0', 'speaker_1']",0.5278670787811279,0.7360485196113586,0.625
282.5,287.5,8,3,"['speaker_2', 'speaker_0', 'speaker_1']",0.5291825532913208,0.6556118726730347,0.375
285.0,290.0,8,1,"['speaker_0', 'speaker_2']",0.5748010277748108,0.5747752785682678,0.125
287.5,292.5,9,1,"['speaker_0', 'speaker_2']",0.5901631712913513,0.634063184261322,0.1111111111111111
290.0,295.0,9,3,"['speaker_1', 'speaker_0', 'speaker_2']",0.49312204122543335,0.7656723260879517,0.3333333333333333
292.5,297.5,7,3,"['speaker_1', 'speaker_2']",0.6107890605926514,0.812901496887207,0.42857142857142855
295.0,300.0,6,2,"['speaker_1', 'speaker_2']",0.7257931232452393,0.7552893757820129,0.3333333333333333
297.5,302.5,4,1,"['speaker_0', 'speaker_2']",0.8758978247642517,0.7779524326324463,0.25
300.0,305.0,5,1,"['speaker_0', 'speaker_1']",0.801513671875,0.7491183876991272,0.2
302.5,307.5,8,2,"['speaker_0', 'speaker_1']",0.5083251595497131,0.716676652431488,0.25
305.0,310.0,8,0,['speaker_0'],0.4874249994754791,0.6424227356910706,0.0
307.5,312.5,8,2,"['speaker_0', 'speaker_1']",0.4917163550853729,0.6234907507896423,0.25
310.0,315.0,9,3,"['speaker_0', 'speaker_1']",0.49700450897216797,0.5931594967842102,0.3333333333333333
312.5,317.5,9,0,['speaker_0'],0.5251373052597046,0.5797792673110962,0.0
315.0,320.0,8,1,"['speaker_0', 'speaker_1']",0.590347170829773,0.7312138676643372,0.125
317.5,322.5,8,2,"['speaker_0', 'speaker_1']",0.558889627456665,0.7388654947280884,0.25
320.0,325.0,6,1,"['speaker_0', 'speaker_1']",0.7263117432594299,0.6245725154876709,0.16666666666666666
327.5,332.5,6,0,['speaker_0'],0.6773359179496765,0.7701131701469421,0.0
330.0,335.0,6,1,"['speaker_0', 'speaker_2']",0.5894057750701904,0.9691107869148254,0.16666666666666666
332.5,337.5,6,2,"['speaker_0', 'speaker_2']",0.6532888412475586,0.8052034378051758,0.3333333333333333
335.0,340.0,8,0,['speaker_0'],0.5478571057319641,0.6955332159996033,0.0
337.5,342.5,7,0,['speaker_0'],0.5165616273880005,0.7605299353599548,0.0
340.0,345.0,7,0,['speaker_0'],0.5762884020805359,0.6551788449287415,0.0
342.5,347.5,8,0,['speaker_0'],0.4750587046146393,0.5998807549476624,0.0
345.0,350.0,8,0,['speaker_0'],0.5453158617019653,0.6395925879478455,0.0
347.5,352.5,9,0,['speaker_0'],0.47023648023605347,0.661226749420166,0.0
350.0,355.0,9,0,['speaker_0'],0.5181574821472168,0.6620482206344604,0.0
352.5,357.5,8,0,['speaker_0'],0.5137888193130493,0.6429746747016907,0.0
355.0,360.0,8,0,['speaker_0'],0.5852351188659668,0.6405621767044067,0.0
357.5,362.5,8,0,['speaker_0'],0.514834463596344,0.7093914151191711,0.0
360.0,365.0,8,0,['speaker_0'],0.5119159817695618,0.6855391263961792,0.0
362.5,367.5,9,0,['speaker_0'],0.4799152910709381,0.6535829305648804,0.0
365.0,370.0,9,0,['speaker_0'],0.4492250084877014,0.6571229696273804,0.0
367.5,372.5,7,0,['speaker_0'],0.5523425340652466,0.7182672619819641,0.0
370.0,375.0,7,0,['speaker_0'],0.5411015152931213,0.6958472728729248,0.0
372.5,377.5,8,0,['speaker_0'],0.5068676471710205,0.6195791959762573,0.0
375.0,380.0,8,0,['speaker_0'],0.49339693784713745,0.6287530660629272,0.0
377.5,382.5,8,0,['speaker_0'],0.47652924060821533,0.6339617967605591,0.0
380.0,385.0,8,2,"['speaker_3', 'speaker_0']",0.5939157009124756,0.7217201590538025,0.25
382.5,387.5,9,4,"['speaker_3', 'speaker_0']",0.4677742123603821,0.7154544591903687,0.4444444444444444
385.0,390.0,9,2,"['speaker_3', 'speaker_0']",0.5583133101463318,0.6275660991668701,0.2222222222222222
387.5,392.5,7,0,['speaker_3'],0.6081206202507019,0.6585397124290466,0.0
390.0,395.0,7,1,"['speaker_3', 'speaker_0']",0.6533584594726562,0.6227266192436218,0.14285714285714285
392.5,397.5,8,2,"['speaker_3', 'speaker_0']",0.5367881655693054,0.669192373752594,0.25
395.0,400.0,9,4,"['speaker_3', 'speaker_0', 'speaker_2']",0.4917130768299103,0.6788638830184937,0.4444444444444444
397.5,402.5,7,3,"['speaker_1', 'speaker_0', 'speaker_2']",0.5030142068862915,0.7374336123466492,0.42857142857142855
